tf,dc,adx,struct,shorts,stop,rr,ret,pf,n,win,dd
1h,20,20.0,True,True,1.5,2.0,-0.23032689227645764,0.5286345908071658,69,0.2318840579710145,-0.24988148761271356
1h,20,20.0,True,True,1.5,3.0,-0.24223445868059434,0.4929039289070836,63,0.15873015873015872,-0.2803757728944295
1h,20,20.0,True,True,2.0,1.0,-0.1672289897812692,0.5992144508035959,76,0.40789473684210525,-0.2003356642736669
1h,20,20.0,True,True,2.0,1.5,-0.12221832468171856,0.7156306542142927,69,0.34782608695652173,-0.15959163023307488
1h,20,20.0,True,True,2.0,2.0,-0.16089771278625087,0.6198866041212624,62,0.25806451612903225,-0.2140349848926275
1h,20,20.0,True,True,2.0,3.0,-0.2511646079604327,0.39372342797134596,54,0.12962962962962962,-0.2511646079604327
1h,20,20.0,True,True,3.0,1.0,-0.11687634237183464,0.6655328718663649,66,0.42424242424242425,-0.17449616763825015
1h,20,20.0,True,True,3.0,1.5,-0.11073784815737364,0.6823131378899784,57,0.3333333333333333,-0.20077954511534513
1h,20,20.0,True,True,3.0,2.0,-0.21125846696937112,0.40163450301253006,49,0.1836734693877551,-0.22583105660042346
1h,20,20.0,True,True,3.0,3.0,-0.11404315476658955,0.6606925001620078,46,0.1956521739130435,-0.1956723905819192
1h,20,20.0,True,False,1.5,1.0,-0.1556375087886538,0.4104662027508864,40,0.325,-0.16219986232655637
1h,20,20.0,True,False,1.5,1.5,-0.14092077412587678,0.45023921452722027,35,0.2571428571428571,-0.1559000800165934
1h,20,20.0,True,False,1.5,2.0,-0.16043582055446282,0.3920412038815483,33,0.18181818181818182,-0.16751903150295566
1h,20,20.0,True,False,1.5,3.0,-0.12580999792947656,0.511243728048444,31,0.16129032258064516,-0.15809395919823455
1h,20,20.0,True,False,2.0,1.0,-0.13056502922321578,0.43674579546015385,36,0.3333333333333333,-0.13776679959956561
1h,20,20.0,True,False,2.0,1.5,-0.13768117094945942,0.4284007297010205,33,0.24242424242424243,-0.1446056193145382
1h,20,20.0,True,False,2.0,2.0,-0.1109927945901954,0.5291855778007108,31,0.22580645161290322,-0.11884311742967946
1h,20,20.0,True,False,2.0,3.0,-0.19256513180197077,0.20782359719723623,28,0.07142857142857142,-0.19256513180197077
1h,20,20.0,True,False,3.0,1.0,-0.09583758344883664,0.49837119778643263,31,0.3548387096774194,-0.10786988595937697
1h,20,20.0,True,False,3.0,1.5,-0.06211322814675746,0.6614123342051421,28,0.32142857142857145,-0.11579353511313206
1h,20,20.0,True,False,3.0,2.0,-0.12880119596040418,0.34376048465394243,25,0.16,-0.1350179978229462
1h,20,20.0,True,False,3.0,3.0,-0.09480743166589023,0.5224713774992961,25,0.16,-0.12674411468346958
1h,20,20.0,False,True,1.5,1.0,-0.4087154531705367,0.627627225789304,237,0.42616033755274263,-0.4135015832996075
1h,20,20.0,False,True,1.5,1.5,-0.3498999377609009,0.6751257294067821,200,0.345,-0.35835612520384863
1h,20,20.0,False,True,1.5,2.0,-0.3453261372153047,0.6797766188383351,181,0.281767955801105,-0.3609103990132695
1h,20,20.0,False,True,1.5,3.0,-0.3149893613018777,0.6975543637154635,157,0.21019108280254778,-0.39404559499591474
1h,20,20.0,False,True,2.0,1.0,-0.2005334420845577,0.7851911361561533,197,0.4720812182741117,-0.2353675907708993
1h,20,20.0,False,True,2.0,1.5,-0.20656796935516364,0.7744636732492348,166,0.3674698795180723,-0.23934730999422904
1h,20,20.0,False,True,2.0,2.0,-0.20783967773737677,0.7732275670985461,155,0.3032258064516129,-0.30055991204410326
1h,20,20.0,False,True,2.0,3.0,-0.07962575443080755,0.8976382051848509,109,0.24770642201834864,-0.211858524470647
1h,20,20.0,False,True,3.0,1.0,-0.21563553711785155,0.7000821241760823,151,0.4370860927152318,-0.2533887474795836
1h,20,20.0,False,True,3.0,1.5,-0.15234855307023754,0.7811204614458909,124,0.3629032258064516,-0.2358159057079896
1h,20,20.0,False,True,3.0,2.0,-0.09394515959843908,0.8463382970927724,96,0.3125,-0.1907084309544459
1h,20,20.0,False,True,3.0,3.0,-0.04066445396950058,0.9237625027706222,73,0.2465753424657534,-0.15147954665453356
